Name,Assign,Date,Status
1. Разработка инвестиционных материалов,,"April 1, 2025 → June 30, 2025",Done
2. Переговоры с брокером,,"May 21, 2025 → September 1, 2025",In progress
3. Реорганизация в АО,,"July 1, 2025 → October 15, 2025",Not started
4. Доработка инвест материалов,,"July 1, 2025 → August 31, 2025",Not started
5. Аудит (зависит от брокера),,"August 1, 2025 → September 30, 2025",Not started
6. Юридическое структурирование,,"August 1, 2025 → September 30, 2025",Not started
7. Маркетинговая стратегия,,"August 1, 2025 → September 30, 2025",Not started
8. Проведение Road-Show,,"October 1, 2025 → November 30, 2025",Not started
"9. Размещение ",,"October 18, 2025 → October 31, 2025",Not started
10. Сбор раунда,,"November 1, 2025 → November 30, 2025",Not started
11. Закрытие сделки,,"December 1, 2025 → December 17, 2025",Not started